minX,maxX,minY,maxY
19
912,2341,0,85
305,362,224,281
394,1049,226,323
1080,1900,254,430
1932,2405,276,346
2436,2928,256,322
266,2966,602,1114
3220,3288,248,697
3280,3288,751,762
714,996,1302,1355
76,1558,1447,2951
70,443,2982,3038
80,589,3140,3195
72,1560,3297,4075
1701,3183,1305,3303
1709,3225,3337,4143
0,893,4312,4423
1602,1668,4307,4343
2950,3189,4320,4425
